38	141.24903661768238 141.24901862803827 141.2490717902093 141.24903661768238
39	-24.430900000007984 -24.43090000001391 -24.430900000001316 -24.430900000007984
40	-77.71200000000002 -77.71200000000002 -77.712 -77.71200000000002
41	-73.41140000000001 -73.41140000000001 -73.4114 -73.41140000000001
42	-71.47520000000027 -71.47520000000048 -71.47520000000003 -71.47520000000027
43	-77.55630000000009 -77.55630000000019 -77.55630000000002 -77.55630000000009
44	-75.68300000000004 -75.68300000000008 -75.683 -75.68300000000004
45	-76.32160000000015 -76.3216000000003 -76.32160000000002 -76.32160000000015
46	-77.08550000000002 -77.08550000000002 -77.08550000000001 -77.08550000000002
47	-77.52570000000004 -77.52570000000009 -77.52569999999999 -77.52570000000004
48	6.905499999962104 6.9054999999359135 6.905499999993113 6.905499999962104
49	23.25829999976493 23.25829999961617 23.25829999995211 23.25829999976493
50	-19.526500000057492 -19.526500000096455 -19.52650000001072 -19.526500000057492
51	-50.94420000000723 -50.94420000001262 -50.94420000000118 -50.94420000000723
52	-72.65900000000005 -72.65900000000009 -72.659 -72.65900000000005
53	-76.11430000000001 -76.11430000000001 -76.1143 -76.11430000000001
54	-75.8386 -75.83860000000001 -75.8386 -75.8386
55	26.951799999864257 26.951799999775996 26.951799999973282 26.951799999864257
56	-33.70970000000285 -33.70970000000506 -33.70970000000044 -33.70970000000285
57	-14.593200000071462 -14.593200000119383 -14.593200000013514 -14.593200000071462
58	-76.27470000000099 -76.27470000000177 -76.27470000000014 -76.27470000000099
59	-78.61590000000001 -78.61590000000002 -78.61590000000001 -78.61590000000001
60	-76.77660000000004 -76.77660000000007 -76.7766 -76.77660000000004
61	-76.23970000000007 -76.23970000000014 -76.2397 -76.23970000000007
62	275.0134 275.0134 275.0134 275.0134
63	246.08729999999997 246.0873 246.08729999999997 246.08729999999997
64	262.3033 262.3033 262.3033 262.3033
65	263.4483 263.4483 263.4483 263.4483
66	257.6487 257.6487 257.6487 257.6487
67	258.0854 258.0854 258.0854 258.0854
68	296.9617 296.9617 296.9617 296.9617
69	248.99449902317326 248.9944986411434 248.99449966504292 248.99449902317326
70	273.0684 273.0684 273.0684 273.0684
71	55.71669992524599 55.71669989074139 55.71669997817047 55.71669992524599
72	118.98986349724504 118.98985263680703 118.98988430434625 118.98986349724504
73	253.6749 253.67490000000004 253.67489999999998 253.6749
74	273.4434 273.4434 273.44339999999994 273.4434
75	156.85225256008252 156.85221376109504 156.85233082275795 156.85225256008252
76	103.71659452754938 103.71659263544875 103.71659791009648 103.71659452754938
77	-13.070800000096147 -13.070800000159714 -13.07080000001852 -13.070800000096147
78	262.4119 262.4119 262.4119 262.4119
79	246.0378 246.0378 246.03779999999998 246.0378
80	144.88975028835569 144.88964400073576 144.8899737672139 144.88975028835569
81	21.726799999446452 21.72679999911091 21.726799999881038 21.726799999446452
82	271.8698 271.8698 271.8698 271.8698
83	237.2046 237.20460000000003 237.20459999999997 237.2046
84	257.4594 257.4594 257.4594 257.4594
